proteome_id	length	proteome_size	proteome_size_unique	protein_clusters	index
MGV-GENOME-0168725	23017	31	31	TemPhD_cluster_63155_CDS_0002;TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_51932_CDS_0036;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;MGV-GENOME-0168725_CDS_0023;TemPhD_cluster_62958_CDS_0019;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;TemPhD_cluster_28392_CDS_0041;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_52222_CDS_0022;TemPhD_cluster_28372_CDS_0009	0
MGV-GENOME-0171006	23340	31	31	TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;MGV-GENOME-0205381_CDS_0035;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_9963_CDS_0003;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_52222_CDS_0022;TemPhD_cluster_28372_CDS_0009;TemPhD_cluster_9963_CDS_0004	1
MGV-GENOME-0205381	28944	37	37	TemPhD_cluster_52018_CDS_0020;MGV-GENOME-0205381_CDS_0002;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_51932_CDS_0036;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;MGV-GENOME-0205381_CDS_0003;TemPhD_cluster_62958_CDS_0019;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;TemPhD_cluster_28392_CDS_0041;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;MGV-GENOME-0205381_CDS_0024;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;MGV-GENOME-0205381_CDS_0028;TemPhD_cluster_52222_CDS_0022;TemPhD_cluster_28372_CDS_0009	2
TemPhD_cluster_15215	30712	37	37	TemPhD_cluster_63155_CDS_0002;TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;MGV-GENOME-4406672_CDS_0022;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_62958_CDS_0025;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_15215_CDS_0021;TemPhD_cluster_28372_CDS_0009	3
TemPhD_cluster_38311	29345	37	37	TemPhD_cluster_63155_CDS_0002;TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_38311_CDS_0020;TemPhD_cluster_52155_CDS_0033;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_15215_CDS_0021;TemPhD_cluster_28372_CDS_0009	4
MGV-GENOME-0227212	32784	38	38	TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;MGV-GENOME-0227212_CDS_0023;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_28372_CDS_0003;TemPhD_cluster_63057_CDS_0001;MGV-GENOME-4406672_CDS_0022;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_28372_CDS_0009	5
TemPhD_cluster_28453	30297	39	39	TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_28453_CDS_0003;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_28453_CDS_0002;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;NC_049457.1_CDS_0029;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_52222_CDS_0022;TemPhD_cluster_28372_CDS_0009	6
NC_055846.1	31096	39	39	TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_33809_CDS_0004;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;MGV-GENOME-4406672_CDS_0022;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_28372_CDS_0009;NC_055844.1_CDS_0024;TemPhD_cluster_37825_CDS_0002	7
NC_004745.1	30728	39	39	NC_004745.1_CDS_0024;TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;MGV-GENOME-0230157_CDS_0006;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;MGV-GENOME-4406672_CDS_0022;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_28372_CDS_0009;TemPhD_cluster_37825_CDS_0002	8
TemPhD_cluster_52275	31114	39	39	TemPhD_cluster_52275_CDS_0024;TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;TemPhD_cluster_52275_CDS_0003;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52275_CDS_0004;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_52275_CDS_0002;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;MGV-GENOME-4406672_CDS_0022;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_28372_CDS_0009	9
TemPhD_cluster_52349	30839	39	39	TemPhD_cluster_63155_CDS_0002;TemPhD_cluster_52275_CDS_0024;TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_63155_CDS_0031;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_52222_CDS_0022;TemPhD_cluster_28372_CDS_0009	10
TemPhD_cluster_33809	31021	39	39	TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_33809_CDS_0037;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_33809_CDS_0004;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;MGV-GENOME-4406672_CDS_0022;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;MGV-GENOME-0230157_CDS_0003;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;TemPhD_cluster_15215_CDS_0021;TemPhD_cluster_28372_CDS_0009;NC_055844.1_CDS_0024;TemPhD_cluster_37825_CDS_0002	11
MGV-GENOME-0216186	27878	39	39	TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_37844_CDS_0025;TemPhD_cluster_28392_CDS_0005;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;MGV-GENOME-0216186_CDS_0007;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_63057_CDS_0001;MGV-GENOME-0216186_CDS_0005;MGV-GENOME-0216186_CDS_0002;MGV-GENOME-0216186_CDS_0006;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_52222_CDS_0022;TemPhD_cluster_28372_CDS_0009;MGV-GENOME-0216186_CDS_0004	12
TemPhD_cluster_52382	30677	39	39	TemPhD_cluster_33805_CDS_0024;TemPhD_cluster_52018_CDS_0020;TemPhD_cluster_37904_CDS_0014;TemPhD_cluster_33807_CDS_0027;TemPhD_cluster_33809_CDS_0030;MGV-GENOME-0205381_CDS_0035;TemPhD_cluster_62972_CDS_0030;MGV-GENOME-0230591_CDS_0008;NC_049457.1_CDS_0014;TemPhD_cluster_52275_CDS_0031;TemPhD_cluster_28372_CDS_0021;uvig_315197_CDS_0035;TemPhD_cluster_52275_CDS_0017;TemPhD_cluster_33805_CDS_0023;TemPhD_cluster_52155_CDS_0034;TemPhD_cluster_51656_CDS_0040;TemPhD_cluster_52382_CDS_0008;NC_022750.1_CDS_0017;MGV-GENOME-0232811_CDS_0011;MGV-GENOME-0227212_CDS_0019;TemPhD_cluster_63038_CDS_0027;TemPhD_cluster_52209_CDS_0016;TemPhD_cluster_52382_CDS_0007;TemPhD_cluster_37938_CDS_0036;TemPhD_cluster_62958_CDS_0019;TemPhD_cluster_52379_CDS_0032;SAMN09781779_a1_ct39878_CDS_0016;TemPhD_cluster_52382_CDS_0002;TemPhD_cluster_28372_CDS_0003;TemPhD_cluster_63057_CDS_0001;TemPhD_cluster_38170_CDS_0040;NC_049457.1_CDS_0018;TemPhD_cluster_52091_CDS_0005;TemPhD_cluster_9973_CDS_0030;TemPhD_cluster_38170_CDS_0007;TemPhD_cluster_51656_CDS_0036;MGV-GENOME-0230591_CDS_0040;TemPhD_cluster_52222_CDS_0022;TemPhD_cluster_28372_CDS_0009	13
