island	island_index	island_size	proteome	flanked	strength	degree	defence_cargo	defence_flanking	virulence_cargo	virulence_flanking	anti-defence_cargo	anti-defence_flanking	AMR_cargo	AMR_flanking	hotspot_id
MGV-GENOME-0205381:23	5	1	MGV-GENOME-0205381	1	63.399999999999935	81	PDC-S06_WP_029531116.1								0-0
TemPhD_cluster_15215:21	9	3	TemPhD_cluster_15215	1	74.7	82									0-0
TemPhD_cluster_38311:20	11	2	TemPhD_cluster_38311	1	74.7	82									0-0
MGV-GENOME-0227212:22	14	1	MGV-GENOME-0227212	1	77.99999999999999	82									0-0
TemPhD_cluster_28453:23	16	1	TemPhD_cluster_28453	1	77.99999999999999	82									0-0
NC_055846.1:23	18	1	NC_055846.1	1	77.99999999999999	82									0-0
NC_004745.1:23	20	1	NC_004745.1	1	77.99999999999999	82									0-0
TemPhD_cluster_52275:23	22	1	TemPhD_cluster_52275	1	77.99999999999999	82									0-0
TemPhD_cluster_52349:22	24	1	TemPhD_cluster_52349	1	77.99999999999999	82									0-0
TemPhD_cluster_33809:24	27	3	TemPhD_cluster_33809	1	74.7	82									0-0
MGV-GENOME-0216186:27	30	1	MGV-GENOME-0216186	1	63.399999999999935	81									0-0
TemPhD_cluster_52382:23	32	1	TemPhD_cluster_52382	1	77.99999999999999	82									0-0
TemPhD_cluster_33805:23	34	1	TemPhD_cluster_33805	1	77.99999999999999	82									0-0
TemPhD_cluster_63038:23	37	1	TemPhD_cluster_63038	1	77.99999999999999	82									0-0
MGV-GENOME-4406672:23	40	1	MGV-GENOME-4406672	1	77.99999999999999	82									0-0
TemPhD_cluster_9963:24	42	1	TemPhD_cluster_9963	1	77.99999999999999	82	PD-T4-8_WP_163657221.1								0-0
TemPhD_cluster_63155:22	44	3	TemPhD_cluster_63155	1	65.59999999999991	80									0-0
TemPhD_cluster_9973:23	48	2	TemPhD_cluster_9973	1	74.7	82									0-0
TemPhD_cluster_52222:23	51	1	TemPhD_cluster_52222	1	77.99999999999999	82									0-0
