representative_protein	db	db_hit	name	counts	length	N_Hotspot_communities	N_Hotspots	N_Hotpot_islands	N_Non_hotspot_islands	N_Proteome_communities	N_Flanked_hotspot_islands	N_Flanked_non_hotspot_islands	N_island_neighbours	N_defence_island_neighbours	N_virulence_island_neighbours	N_anti-defence_island_neighbours	N_AMR_island_neighbours	defence_avg_cargo_fraction	defence_max_cargo_fraction	virulence_avg_cargo_fraction	virulence_max_cargo_fraction	anti-defence_avg_cargo_fraction	anti-defence_max_cargo_fraction	AMR_avg_cargo_fraction	AMR_max_cargo_fraction	hotspots
MGV-GENOME-0205381_CDS_0024	defence	PDC-S06_WP_029531116.1	hypothetical protein	1	721	1	1	1	0	1	1	0	0	0	0	0	0	0.1137	0.1137	0.0	0.0	0.0	0.0	0.0	0.0	0-0
MGV-GENOME-4406672_CDS_0022	None	None	tail fiber protein	7	873	1	1	7	0	1	7	0	6	1	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_15215_CDS_0021	None	None	tail fiber assembly	9	193	1	1	9	0	1	9	0	7	1	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_62958_CDS_0025	None	None	hypothetical protein	2	252	1	1	2	0	1	2	0	2	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_38311_CDS_0020	None	None	tail fiber protein	2	669	1	1	2	0	1	2	0	1	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
MGV-GENOME-0227212_CDS_0023	None	None	hypothetical protein	1	346	1	1	1	0	1	1	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
NC_049457.1_CDS_0029	None	None	hypothetical protein	2	361	1	1	2	0	1	2	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
NC_055844.1_CDS_0024	None	None	hypothetical protein	3	374	1	1	3	0	1	3	0	2	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
NC_004745.1_CDS_0024	None	None	hypothetical protein	3	260	1	1	3	0	1	3	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_52275_CDS_0024	None	None	hypothetical protein	2	176	1	1	2	0	1	2	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
